Issue Id,Issue Type,Summary,Description,Parent Id,Epic Code
1,Epic,AUTH-1 – Gestion du compte utilisateur et authentification (Auth Service),Epic backend Auth Service pour gestion des comptes utilisateurs et authentification JWT.,,AUTH-1
2,Epic,ORDER-1 – Gestion des commandes et du cycle de vie (Order Service),"Epic backend Order Service pour gestion des commandes, estimations de livraison et items de commande.",,ORDER-1
3,Epic,PAY-1 – Infrastructure de paiement et escrow (Payment Service),"Epic backend Payment Service pour gestion de l’escrow, commissions et intégration paiement.",,PAY-1
4,Epic,"RATE-1 – Notation, likes et followers (Notation Service)","Epic backend Notation Service pour gestion des notes, likes et followers.",,RATE-1
5,Epic,FRONT-AUTH-1 – Expérience d’authentification et d’inscription (Front mobile/web),Epic front pour les écrans de connexion et d’inscription MaCake (Expo/React Native).,,FRONT-AUTH-1
6,Epic,"FRONT-CLIENT-1 – Expérience Client : exploration, favoris et commandes","Epic front pour l’accueil client, recherche, filtres, favoris et navigation catalogue.",,FRONT-CLIENT-1
7,Epic,"FRONT-CLIENT-2 – Panier, personnalisation et paiement","Epic front pour le détail produit, panier, checkout et paiement.",,FRONT-CLIENT-2
8,Epic,"FRONT-CLIENT-3 – Suivi de commandes, évaluations et wallet","Epic front pour les commandes client, évaluations et wallet.",,FRONT-CLIENT-3
9,Epic,"FRONT-PATISSIERE-1 – Espace pâtissière : produits, commandes et réputation","Epic front pour l’espace pâtissière (produits, commandes, performance).",,FRONT-PATISSIERE-1
10,Epic,"FRONT-LIVREUR-1 – Espace livreur : courses, revenus et profil","Epic front pour l’espace livreur (livraisons, revenus, profil).",,FRONT-LIVREUR-1
11,Epic,"FRONT-COMMON-1 – Layout, navigation, profil et paramètres","Epic front pour la navigation, les layouts par rôle et le profil utilisateur.",,FRONT-COMMON-1
12,Epic,FRONT-NOTIF-1 – Notifications temps réel et feedbacks UI,Epic front pour les notifications temps réel et les feedbacks visuels.,,FRONT-NOTIF-1
